depolarizing_mixture,bell_fidelity,entropy_bits,prob_00,prob_11
0.0,1.0,1.0,0.5,0.5
0.05,0.975,1.1686609314966703,0.4875,0.4875
0.1,0.9500000000000001,1.2863969571159561,0.47500000000000003,0.47500000000000003
0.2,0.8999999999999999,1.4689955935892813,0.45,0.45
0.35,0.825,1.6690158350565576,0.4125,0.4125
