step,energy,theta0,theta1,theta2,theta3,theta4,theta5
58,-1.244584700007023,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,1.4225322353234981e-05
59,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.916203585374497e-10
60,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-3.9581017926872485e-10
61,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-5.469962102032827e-10
62,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-6.404343176458912e-10
63,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-6.981822449410762e-10
64,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.338724274390286e-10
65,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.559301736889681e-10
66,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
67,-1.1151172085692196,-0.21043798812449738,-2.9196664335591827,-0.0861252242394476,0.028500223041192485,-2.2728171737752193e-09,-1.5469789508517157e-09
68,-1.244584700008173,-0.005218994062248683,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
69,-1.2534668604635104,0.9947810059377513,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
70,-1.2810255289732866,2.612815005937751,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
71,-1.254479756528061,5.230849031093751,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
72,-1.2815941805067632,3.6128149903904876,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
73,-1.273236272950989,4.23084898078175,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
74,-1.283712696957616,3.14546102272178,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
75,-1.28370442214619,3.11395422254394,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
76,-1.2837015524202235,3.1769678228996203,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
77,-1.283712696957616,3.14546102272178,-1.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
78,-0.5164443976709044,3.14546102272178,-0.6098332167795912,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
79,-1.8080428050977997,3.14546102272178,-3.2278672167795914,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
80,-1.7584708661186643,3.14546102272178,-3.3759308007737254,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
81,-1.8279184137506104,3.14546102272178,-2.609833241935591,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
82,-1.6903710782101111,3.14546102272178,-2.2278672323268545,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
83,-1.857263172872084,3.14546102272178,-2.877858076673229,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
84,-1.8572073322428915,3.14546102272178,-2.890538325282165,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
85,-1.8571877844620037,3.14546102272178,-2.8651778280642928,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
86,-1.857263172872084,3.14546102272178,-2.877858076673229,0.006937387880276202,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
87,-1.681954004864428,3.14546102272178,-2.877858076673229,1.006937387880276,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
88,-1.4653742722842729,3.14546102272178,-2.877858076673229,-1.6110966121197237,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
89,-1.78907328175109,3.14546102272178,-2.877858076673229,-0.6110965869637238,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
90,-1.8291626110632877,3.14546102272178,-2.877858076673229,0.38890338788027623,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
91,-1.8572709632827318,3.14546102272178,-2.877858076673229,-0.0021000289905419196,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
92,-1.8572718998603046,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
93,-1.8572718997368063,3.14546102272178,-2.877858076673229,0.00016914349899317498,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
94,-1.857271898223263,3.14546102272178,-2.877858076673229,3.241126906826548e-05,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
95,-1.8572718998603046,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.039250111520596244,-1.1364085868876096e-09,-7.734894754258578e-10
96,-1.4827278302535323,3.14546102272178,-2.877858076673229,0.00010077738403072023,1.0392501115205963,-1.1364085868876096e-09,-7.734894754258578e-10
97,-1.0017799404551155,3.14546102272178,-2.877858076673229,0.00010077738403072023,-1.5787838884794037,-1.1364085868876096e-09,-7.734894754258578e-10
98,-1.7058459844029203,3.14546102272178,-2.877858076673229,0.00010077738403072023,-0.5787838633234038,-1.1364085868876096e-09,-7.734894754258578e-10
99,-1.7987413939879062,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.4212161115205963,-1.1364085868876096e-09,-7.734894754258578e-10
100,-1.8572700092899814,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.037846477266937704,-1.1364085868876096e-09,-7.734894754258578e-10
101,-1.8572722667963646,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04021849377983322,-1.1364085868876096e-09,-7.734894754258578e-10
102,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.1364085868876096e-09,-7.734894754258578e-10
103,-1.857272266921824,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04018907513854353,-1.1364085868876096e-09,-7.734894754258578e-10
104,-1.8572722669218198,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04020804412072428,-1.1364085868876096e-09,-7.734894754258578e-10
105,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.1364085868876096e-09,-7.734894754258578e-10
106,-1.68407814131832,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,0.9999999988635914,-7.734894754258578e-10
107,-1.4627252118794043,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.6180340011364085,-7.734894754258578e-10
108,-1.7875795399789003,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-0.6180339759804087,-7.734894754258578e-10
109,-1.8301207819204122,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,0.38196599886359145,-7.734894754258578e-10
110,-1.857271237534315,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-0.0023376628202683705,-7.734894754258578e-10
111,-1.857272266920406,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,1.4226459261473909e-05,-7.734894754258578e-10
112,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,1.8242506368411115e-11,-7.734894754258578e-10
113,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-5.590830402595993e-10,-7.734894754258578e-10
114,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-7.796017700029138e-10,-7.734894754258578e-10
115,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-9.158898426210936e-10,-7.734894754258578e-10
116,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.0001205052935976e-09,-7.734894754258578e-10
117,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.052177918667736e-09,-7.734894754258578e-10
118,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.0843511700850082e-09,-7.734894754258578e-10
119,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.1042353333514306e-09,-7.734894754258578e-10
120,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.734894754258578e-10
121,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.734894754258578e-10
122,-1.6840794491446038,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,0.9999999992265105
123,-1.4627281915856913,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-1.6180340007734895
124,-1.7875800663684853,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-0.6180339756174895
125,-1.8301209869144235,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,0.38196599922651053
126,-1.8572712375420941,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-0.0023376628124811196
127,-1.8572722669204065,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,1.4226459153021992e-05
128,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,4.713015852258058e-11
129,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-3.631796584516386e-10
130,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-5.199040580020132e-10
131,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-6.167650655537295e-10
132,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-6.766284614949468e-10
133,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.136260755420812e-10
134,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.364918589420878e-10
135,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.506236905199275e-10
136,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
137,-0.915122915481969,6.296141039505809,-4.145882936566867,-0.006735833112214762,0.041147007738671575,-1.0966402577356522e-09,-7.482152213121158e-10
138,-1.8572722669585322,3.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
139,-1.6861039940553812,4.14546102272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
140,-1.471506803230375,1.52742702272178,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
141,-1.7897065769054736,2.5274270478777803,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
142,-1.8300942382720777,3.5274270227217803,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
143,-1.8572740693901768,3.139318725188447,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
144,-1.857275028272802,3.1415862508032433,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
145,-1.8572750281379382,3.1416249985324285,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
146,-1.857275027852549,3.141547503074058,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
147,-1.857275028272802,3.1415862508032433,-2.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
148,-1.4820787710759031,3.1415862508032433,-1.877858076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
149,-1.0025521449186445,3.1415862508032433,-4.495892076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
150,-1.7062965961329706,3.1415862508032433,-3.495892051517229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
151,-1.7984560461034986,3.1415862508032433,-2.495892076673229,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
152,-1.8572727981643264,3.1415862508032433,-2.880194772935403,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
153,-1.8572750281905321,3.1415862508032433,-2.8778428627326362,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
154,-1.8572750282731956,3.1415862508032433,-2.877857095114595,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
155,-1.8572750282731953,3.1415862508032433,-2.8778570852890084,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
156,-1.8572750282731953,3.1415862508032433,-2.87785711665557,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
157,-1.8572750282731953,3.1415862508032433,-2.877857104940181,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
158,-1.8572750282731956,3.1415862508032433,-2.877857095114595,0.00010077738403072023,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
159,-1.684048949144244,3.1415862508032433,-2.877857095114595,1.0001007773840307,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
160,-1.462766135002808,3.1415862508032433,-2.877857095114595,-1.6179332226159693,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
161,-1.7876043770190073,3.1415862508032433,-2.877857095114595,-0.6179331974599693,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
162,-1.8301093697696098,3.1415862508032433,-2.877857095114595,0.3820667773840307,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
163,-1.8572740021301466,3.1415862508032433,-2.877857095114595,-0.0023363408967573174,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
164,-1.8572750301599004,3.1415862508032433,-2.877857095114595,1.3391556831376426e-05,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
165,-1.8572750301948113,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
166,-1.8572750301946195,3.1415862508032433,-2.877857095114595,7.881598639614715e-07,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
167,-1.857275030194619,3.1415862508032433,-2.877857095114595,-1.231844664659914e-06,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
168,-1.8572750301948113,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855962963391,-1.116524422311631e-09,-7.608523483689868e-10
169,-1.4820780983762303,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,1.040198559629634,-1.116524422311631e-09,-7.608523483689868e-10
170,-1.0025529445270445,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,-1.577835440370366,-1.116524422311631e-09,-7.608523483689868e-10
171,-1.7062970616095812,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,-0.5778354152143661,-1.116524422311631e-09,-7.608523483689868e-10
172,-1.798455749448108,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.42216455962963395,-1.116524422311631e-09,-7.608523483689868e-10
173,-1.8572728001145287,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.03786089739356044,-1.116524422311631e-09,-7.608523483689868e-10
174,-1.857275030112217,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.040212786661293055,-1.116524422311631e-09,-7.608523483689868e-10
175,-1.8572750301948113,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.040198560200993584,-1.116524422311631e-09,-7.608523483689868e-10
176,-1.8572750301948113,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855991531374,-1.116524422311631e-09,-7.608523483689868e-10
177,-1.8572750301948113,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855980619376,-1.116524422311631e-09,-7.608523483689868e-10
178,-1.8572750301948113,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.0401985597387539,-1.116524422311631e-09,-7.608523483689868e-10
179,-1.857275030194811,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.040198559697073775,-1.116524422311631e-09,-7.608523483689868e-10
180,-1.857275030194811,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.040198559764513635,-1.116524422311631e-09,-7.608523483689868e-10
181,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.116524422311631e-09,-7.608523483689868e-10
182,-1.857275030194811,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855971190151,-1.116524422311631e-09,-7.608523483689868e-10
183,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.116524422311631e-09,-7.608523483689868e-10
184,-1.684080970266981,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,0.9999999988834756,-7.608523483689868e-10
185,-1.462728124834537,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.6180340011165244,-7.608523483689868e-10
186,-1.787582329664525,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-0.6180339759605245,-7.608523483689868e-10
187,-1.83012355545655,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,0.3819659988834756,-7.608523483689868e-10
188,-1.8572740007709851,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-0.0023376628200465063,-7.608523483689868e-10
189,-1.8572750301566856,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,1.4226459155832703e-05,-7.608523483689868e-10
190,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,5.6629759949716524e-11,-7.608523483689868e-10
191,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-5.299473311809572e-10,-7.608523483689868e-10
192,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-7.539998363717761e-10,-7.608523483689868e-10
193,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-8.924719023648787e-10,-7.608523483689868e-10
194,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-9.780523471988598e-10,-7.608523483689868e-10
195,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0309439718413846e-09,-7.608523483689868e-10
196,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0636327941857026e-09,-7.608523483689868e-10
197,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.083835597814451e-09,-7.608523483689868e-10
198,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0963216173523408e-09,-7.608523483689868e-10
199,-1.8572750301948115,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0963216173523408e-09,-7.608523483689868e-10
200,-1.6840809701585124,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0963216173523408e-09,0.9999999992391476
201,-1.4627281249757158,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0963216173523408e-09,-1.6180340007608522
202,-1.787582329743126,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0963216173523408e-09,-0.6180339756048524
203,-1.830123555407476,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0963216173523408e-09,0.3819659992391477
204,-1.8572740007709903,3.1415862508032433,-2.877857095114595,-2.218424003492213e-07,0.04019855972283351,-1.0963216173523408e-09,-0.0023376628124201853
