gamma,beta,expected_cut,approximation_ratio,top_measurement,top_probability
0.0,0.0,1.5,0.75,000,0.125
0.0,0.07853981633974483,1.5,0.75,000,0.125
0.0,0.15707963267948966,1.5,0.75,000,0.125
0.0,0.23561944901923448,1.5,0.75,000,0.125
0.0,0.3141592653589793,1.5,0.75,000,0.125
0.0,0.39269908169872414,1.5,0.75,000,0.125
0.0,0.47123889803846897,1.5,0.75,000,0.125
0.0,0.5497787143782138,1.5,0.75,000,0.125
0.0,0.6283185307179586,1.5,0.75,000,0.125
0.0,0.7068583470577035,1.5,0.75,000,0.125
0.0,0.7853981633974483,1.5,0.75,000,0.125
0.0,0.8639379797371931,1.5,0.75,000,0.125
0.0,0.9424777960769379,1.5,0.75,000,0.125
0.0,1.0210176124166828,1.5,0.75,000,0.125
0.0,1.0995574287564276,1.5,0.75,000,0.125
0.0,1.1780972450961724,1.5,0.75,000,0.125
0.0,1.2566370614359172,1.5,0.75,000,0.125
0.0,1.335176877775662,1.5,0.75,000,0.125
0.0,1.413716694115407,1.5,0.75,000,0.125
0.0,1.4922565104551517,1.5,0.75,000,0.125
0.0,1.5707963267948966,1.5,0.75,000,0.125
0.15707963267948966,0.0,1.5,0.75,000,0.125
0.15707963267948966,0.07853981633974483,1.5707203278854571,0.7853601639427286,001,0.13089336065712145
0.15707963267948966,0.15707963267948966,1.632721458892113,0.8163607294460565,001,0.13606012157434275
0.15707963267948966,0.23561944901923448,1.6799342903297547,0.8399671451648774,001,0.13999452419414624
0.15707963267948966,0.3141592653589793,1.7077373013061266,0.8538686506530633,011,0.1423114417755106
0.15707963267948966,0.39269908169872414,1.713408939391893,0.8567044696959465,001,0.1427840782826578
0.15707963267948966,0.47123889803846897,1.6963940251345937,0.8481970125672968,001,0.14136616876121616
0.15707963267948966,0.5497787143782138,1.65835809689161,0.829179048445805,001,0.13819650807430087
0.15707963267948966,0.6283185307179586,1.6030243763312624,0.8015121881656312,001,0.13358536469427187
0.15707963267948966,0.7068583470577035,1.5358093135546977,0.7679046567773489,001,0.12798410946289146
0.15707963267948966,0.7853981633974483,1.4632923872213652,0.7316461936106826,000,0.13417690319465872
0.15707963267948966,0.8639379797371931,1.3925720593359079,0.6962860296679539,000,0.151856985166023
0.15707963267948966,0.9424777960769379,1.3305709283292522,0.6652854641646261,000,0.16735726791768699
0.15707963267948966,1.0210176124166828,1.2833580968916103,0.6416790484458051,000,0.1791604757770974
0.15707963267948966,1.0995574287564276,1.2555550859152387,0.6277775429576193,000,0.18611122852119036
0.15707963267948966,1.1780972450961724,1.2498834478294722,0.6249417239147361,000,0.18752913804263197
0.15707963267948966,1.2566370614359172,1.2668983620867718,0.6334491810433859,000,0.18327540947830703
