model_name,seed,accuracy,precision,recall,f1,balanced_accuracy,brier_score,ece,recall_at_fixed_fpr,latency_ms_per_sample,parameter_count,training_time_s,tn,fp,fn,tp,roc_auc,pr_auc,notes,uncertainty_mode,backend_used
logistic_regression,13,0.4194,0.8117206982543641,0.19130179253599766,0.30963139120095123,0.5483747535003094,0.5041600614019763,0.5109016962948022,0.14163972965030855,0.0006547599999976228,177.0,0.048013499999797205,1446.0,151.0,2752.0,651.0,0.6673613524918435,0.7901353269713112,,,
mlp,13,0.459,0.8237476808905381,0.26094622392007055,0.3963401026556572,0.5709865747026778,0.46189755637292473,0.4750042151506847,0.13517484572436086,0.023613619999923684,15553.0,1.1003724000001966,1407.0,190.0,2515.0,888.0,0.6903400826299533,0.8095144331009335,,,
mlp_calibrated,13,0.459,0.8237476808905381,0.26094622392007055,0.3963401026556572,0.5709865747026778,0.46966196215348666,0.48190629411551356,0.13517484572436086,0.022931919999973613,15553.0,0.9955665999996199,1407.0,190.0,2515.0,888.0,0.6903400826299533,0.8095144331009335,temperature=0.9086,,
random_forest,13,0.854,0.9764705882352941,0.8048780487804879,0.882409793814433,0.8817752798692671,0.14100619690966515,0.21083966207885435,0.8139876579488686,0.00796230000014475,50908.0,0.8734364000001733,1531.0,66.0,664.0,2739.0,0.940262661900408,0.969301209981684,,,
